title,company,location,salary,description,url,date_posted,job_id
"Intern, Data Analyst",Bosch Group,Singapore 573943,N/A,"Data Analysis & Reporting – Analyze Asia Pacific Customer Backlog (CBL)data, ensuredataquality, validatedata, identify root causes, and resolve issues to…",https://sg.indeed.com/rc/clk?jk=d60349e7839e16d2&bb=skEPa2iXzWJFPYd_3OgFZxAFOEunY-phDCAIhsOkEYo-sI24ydn0pVEkvqoDY3PkTQ7HCc8aNkQTt9UgozascbLhGi6cNOuwPkrVS1KNUX-8t-wKQlt5T-G29C5qN_Pn&xkcb=SoBh67M3197xfkAZD70HbzkdCdPP&fccid=a2faf1301ac6ad4b&vjs=3,Not specified,d60349e7839e16d2
Data Analyst (Finance),Revolut,Singapore,N/A,"Understanding our business and its processes through our data.Promotingdataliteracy across the company, organising and holding workshops.",https://sg.indeed.com/rc/clk?jk=a1ee87d466733bae&bb=skEPa2iXzWJFPYd_3OgFZw6QpNBpPlQjUUuhLB-J3u_HXjBmwyVr8v0eRUN8_qcadPBTMwABO4AjQjOZphq1zRAZFEWRu2LJm6SIWVm-xjJ3hxtbh9_QNtFthuGJogH-&xkcb=SoDV67M3197xfkAZD70GbzkdCdPP&fccid=1c00ce6833fa8f3d&vjs=3,Not specified,a1ee87d466733bae
Data Analyst,Thatz International Pte Ltd,Singapore,"$4,500 - $5,000 a month",Proficient withdatavisualization tools (e.g Power BI / Tableau).Requires an analytical mindset to interpret complexdataand derive actionable insights.,https://sg.indeed.com/rc/clk?jk=9f3402e4024a7b79&bb=skEPa2iXzWJFPYd_3OgFZ48hbDum-EeSS-oKorAqDI6xRIxYHRwCmNrIMYvocyEiRwHJYOsPFYO5Pbdp1dSWwZ9hWj9emtUQkNBHn1jDP-Sl7iQK_RcHoFQwXTWEAEFg&xkcb=SoBI67M3197xfkAZD70FbzkdCdPP&fccid=c54255c3b5a4192e&cmp=Thatz-International-Pte-Ltd&ti=Data+Analyst&vjs=3,Not specified,9f3402e4024a7b79
Data Analyst,Pacific International Lines,Singapore,N/A,Build and maintaindatainfrastructure anddatapipelines to supportdataanalytics and machine learning models.,https://sg.indeed.com/rc/clk?jk=ae54bf9eed60989e&bb=JTJqgTlZVRusOVJckAxpT4-09Vto0Yehxwchhpp4Y_7VqyRmkjDIXdYl327paf6QQuN52EPIeQFIc77IH98RdfkLAUEHxdNLRhf24Jd_NMCuSHuiLwJtWRWLeH9rhgvn&xkcb=SoCP67M3198KGYgZDz0KbzkdCdPP&fccid=9ba15ce8cebdfa4b&vjs=3,Not specified,ae54bf9eed60989e
Business Strategy Analyst,SHIELD,Singapore,N/A,Interpretdataand work with internal teams to deliver data-driven presentations and reports for internal teams and external customers.,https://sg.indeed.com/rc/clk?jk=d4351fb7425d30e7&bb=JTJqgTlZVRusOVJckAxpT2ezIlXAXVIXjd4Oc227Y2zRx16rFu7iMsKv6q7_ivjdPh-1CrnF8pnU7G_FO72c4_npuKaTbfw6-4hZAPd5Zs9R5CJknV2aAx3BLOvr3L5u&xkcb=SoAS67M3198KGYgZDz0JbzkdCdPP&fccid=5facc90f9353eac9&vjs=3,Not specified,d4351fb7425d30e7
Manpower Development Data Analyst,Institute of Banking and Finance Singapore (IBF),Singapore 079912,N/A,Responsibilities:You will be part of a strategic and dynamic team and will be responsible for:Analysis of jobs and skillsdatafor the financial services sector…,https://sg.indeed.com/rc/clk?jk=a0ec70fe8583c95e&bb=JTJqgTlZVRusOVJckAxpT7hVV_bm0WDRsAVzpKxzFspbePvlWY5vO3Ot5aa_H-LrJqGT2VdOZ8jNyfC5S1vsOiDpop3hQ5vYbvr-yd8zcZWoe3zTKEb8mxtIr53CkWFm&xkcb=SoCm67M3198KGYgZDz0IbzkdCdPP&fccid=19735a120e69182c&vjs=3,Not specified,a0ec70fe8583c95e
Data Analyst,Montfort Care,Singapore 398008,N/A,Reviewdatacollection practices and developdatacollection framework.Establish newdatagathering techniques.Documentation and Improvement of Work Process.,https://sg.indeed.com/rc/clk?jk=96bd82a2399a0727&bb=JTJqgTlZVRusOVJckAxpT2grGm2KN9bPwn5v5ImMC7lJzUXw9e9vwm5E19sz2vAdReUytGong6sWxaxkKm0WP61OjD-GzXEKgYI16s2a9B7a37zeVD6acYEl5T63Sngw&xkcb=SoAo67M3198KGYgZDz0PbzkdCdPP&fccid=11a541b210b1c515&vjs=3,Not specified,96bd82a2399a0727
Data Analyst,foodpanda,Singapore 069542,N/A,Data Quality & Tracking: Monitoringdataquality and participating in QA processes to ensure consistency across all reporting metrics.,https://sg.indeed.com/rc/clk?jk=f8304c3e708d59a6&bb=JTJqgTlZVRusOVJckAxpT1H20UBUldtg7kvIx4jkg3-sSOEvB77ab674TUuuQpLnzfHcvGMoFKNe0OZ5a3TAcO4PM599SN9BWOwKlLxnL8qL_m_qwKo_4ativzhZfsBw&xkcb=SoCc67M3198KGYgZDz0ObzkdCdPP&fccid=3228946bc134183e&vjs=3,Not specified,f8304c3e708d59a6
Data Analyst,Thatz International Pte Ltd,Singapore,"$4,500 - $5,000 a month",Proficient withdatavisualization tools (e.g Power BI / Tableau).Requires an analytical mindset to interpret complexdataand derive actionable insights.,https://sg.indeed.com/rc/clk?jk=9f3402e4024a7b79&bb=JTJqgTlZVRusOVJckAxpT5W0eln22k7X_QFG8xDuGJsjUvh2qf_i1GxVjA7-OpA3uQJKLNbFavXqxamx6zU1c_f35OpKLpEONeqXQqk_yRbOqZxGaVN01UABslk6TNFG&xkcb=SoAB67M3198KGYgZDz0NbzkdCdPP&fccid=c54255c3b5a4192e&cmp=Thatz-International-Pte-Ltd&ti=Data+Analyst&vjs=3,Not specified,9f3402e4024a7b79
Data Analyst (Finance),Revolut,Singapore,N/A,"Understanding our business and its processes through our data.Promotingdataliteracy across the company, organising and holding workshops.",https://sg.indeed.com/rc/clk?jk=a1ee87d466733bae&bb=JTJqgTlZVRusOVJckAxpT02jHmBTXpZa4Lo_pJrGAVA_frtWhlHi0H8Pr9nmu-pazVteyaU8Qz8brXHThgXKPpXvzo4y0JOSCM9fsojt-0bLvq_NKGchpzRNy0nAf8tw&xkcb=SoC167M3198KGYgZDz0MbzkdCdPP&fccid=1c00ce6833fa8f3d&vjs=3,Not specified,a1ee87d466733bae
